artist_id,date,sentiment_score,social_impressions,mention_volume
2,2024-11-17,56.0,1120000,75
1,2024-11-24,14.0,860000,57
2,2024-11-24,43.0,860000,57
1,2024-12-01,14.0,1360000,82
2,2024-12-01,68.0,1360000,82
1,2024-12-08,13.0,1220000,74
2,2024-12-08,61.0,1220000,74
1,2024-12-15,11.0,880000,55
2,2024-12-15,44.0,880000,55
1,2024-12-22,13.0,940000,60
2,2024-12-22,47.0,940000,60
1,2024-12-29,13.0,820000,54
2,2024-12-29,41.0,820000,54
1,2025-01-05,12.0,660000,45
2,2025-01-05,33.0,660000,45
1,2025-01-12,11.0,560000,39
2,2025-01-12,28.0,560000,39
1,2025-01-19,11.0,520000,37
2,2025-01-19,26.0,520000,37
1,2025-01-26,12.0,520000,38
2,2025-01-26,26.0,520000,38
1,2025-02-02,27.0,1520000,103
2,2025-02-02,76.0,1520000,103
1,2025-02-09,13.0,860000,56
2,2025-02-09,43.0,860000,56
1,2025-02-16,15.0,1200000,75
2,2025-02-16,60.0,1200000,75
1,2025-02-23,12.0,800000,52
2,2025-02-23,40.0,800000,52
1,2025-03-02,14.0,980000,63
2,2025-03-02,49.0,980000,63
1,2025-03-09,11.0,760000,49
2,2025-03-09,38.0,760000,49
1,2025-03-16,14.0,840000,56
2,2025-03-16,42.0,840000,56
1,2025-03-23,23.0,720000,59
2,2025-03-23,36.0,720000,59
1,2025-03-30,18.0,740000,55
2,2025-03-30,37.0,740000,55
1,2025-04-06,12.0,860000,55
2,2025-04-06,43.0,860000,55
1,2025-04-13,11.0,600000,41
2,2025-04-13,30.0,600000,41
1,2025-04-20,11.0,480000,35
2,2025-04-20,24.0,480000,35
1,2025-04-27,10.0,420000,31
2,2025-04-27,21.0,420000,31
1,2025-05-04,11.0,720000,47
2,2025-05-04,36.0,720000,47
1,2025-05-11,10.0,540000,37
2,2025-05-11,27.0,540000,37
1,2025-05-18,10.0,400000,30
2,2025-05-18,20.0,400000,30
1,2025-05-25,10.0,420000,31
2,2025-05-25,21.0,420000,31
1,2025-06-01,9.0,780000,48
2,2025-06-01,39.0,780000,48
1,2025-06-08,12.0,1160000,70
2,2025-06-08,58.0,1160000,70
1,2025-06-15,11.0,1000000,61
2,2025-06-15,50.0,1000000,61
1,2025-06-22,17.0,680000,51
2,2025-06-22,34.0,680000,51
1,2025-06-29,33.0,660000,61
2,2025-06-29,28.0,660000,61
1,2025-07-06,13.0,560000,41
2,2025-07-06,28.0,560000,41
1,2025-07-13,14.0,460000,37
2,2025-07-13,23.0,460000,37
1,2025-07-20,10.0,420000,31
2,2025-07-20,21.0,420000,31
1,2025-07-27,12.0,460000,35
2,2025-07-27,23.0,460000,35
1,2025-08-03,14.0,540000,41
2,2025-08-03,27.0,540000,41
1,2025-08-10,13.0,500000,38
2,2025-08-10,25.0,500000,38
1,2025-08-17,11.0,460000,34
2,2025-08-17,23.0,460000,34
1,2025-08-24,11.0,1100000,66
2,2025-08-24,55.0,1100000,66
1,2025-08-31,10.0,980000,59
2,2025-08-31,49.0,980000,59
1,2025-09-07,11.0,800000,51
2,2025-09-07,40.0,800000,51
1,2025-09-14,8.0,560000,36
2,2025-09-14,28.0,560000,36
1,2025-09-21,9.0,520000,35
2,2025-09-21,26.0,520000,35
1,2025-09-28,10.0,580000,39
2,2025-09-28,29.0,580000,39
1,2025-10-05,11.0,620000,42
2,2025-10-05,31.0,620000,42
1,2025-10-12,10.0,560000,38
2,2025-10-12,28.0,560000,38
1,2025-10-19,13.0,820000,54
2,2025-10-19,41.0,820000,54
1,2025-10-26,9.0,680000,43
2,2025-10-26,34.0,680000,43
1,2025-11-02,9.0,640000,41
2,2025-11-02,32.0,640000,41
1,2025-11-09,10.0,640000,42
2,2025-11-09,32.0,640000,42
1,2025-11-16,8.0,580000,37
2,2025-11-16,29.0,580000,37
1,2025-11-23,8.0,540000,35
2,2025-11-23,27.0,540000,35
1,2025-11-30,7.0,540000,34
2,2025-11-30,27.0,540000,34
